23.04.2019/08:38 SW ver:OXY10v3_33
Header Ch-1
Description: 
IDENTIFICATION
PHIboard number   : v1215648
PM number         : 00000000
Serial number     : S DLK 0001 000014   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 081
Ref LED amplitude : 97404
Frequency         : 006
Sending interval  : 0001
Averaging         : 3
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 59.11 at 020.0°C amp 041900
100.00%a.s.phase 2: 28.64 at 020.0°C amp 020100
Date   (ddmmyy)   : 081216
Pressure (mBar)   : 1034

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1034
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/h;Oxy/% oxy sat.;Phase/°;Amp;Temp/°C
24.04.2019;12:18:09;27.67;6.522;41.980;12658.000;20.000
24.04.2019;12:23:10;27.75;6.708;41.670;12553.000;20.000
24.04.2019;12:28:10;27.83;6.530;41.960;12658.000;20.000
24.04.2019;12:33:10;27.92;6.633;41.790;12587.000;20.000
24.04.2019;12:38:09;28.00;6.518;41.980;12666.000;20.000
24.04.2019;12:43:09;28.08;6.589;41.860;12569.000;20.000
24.04.2019;12:48:10;28.17;6.532;41.960;12632.000;20.000
24.04.2019;12:53:09;28.25;6.576;41.880;12625.000;20.000
24.04.2019;12:58:09;28.33;6.593;41.860;12588.000;20.000
24.04.2019;13:03:10;28.42;6.256;42.430;23094.000;20.000
24.04.2019;13:08:09;28.50;5.246;44.280;24095.000;20.000
24.04.2019;13:13:09;28.58;5.124;44.520;24172.000;20.000
24.04.2019;13:18:09;28.67;4.835;45.100;24521.000;20.000
24.04.2019;13:23:09;28.75;4.798;45.180;24466.000;20.000
24.04.2019;13:28:09;28.83;5.481;43.830;23780.000;20.000
24.04.2019;13:33:09;28.92;6.430;42.130;22886.000;20.000
24.04.2019;13:38:09;29.00;6.541;41.940;22745.000;20.000
24.04.2019;13:43:09;29.08;6.606;41.840;22712.000;20.000
24.04.2019;13:48:09;29.17;6.505;42.010;22783.000;20.000
24.04.2019;13:53:09;29.25;6.425;42.140;22859.000;20.000
